"Species","type","f1_r_spearman","f1_p_spearman","f1_r_pearson","f1_p_pearson","accuracy_r_spearman","accuracy_p_spearman","accuracy_r_pearson","accuracy_p_pearson","specificity_r_spearman","specificity_p_spearman","specificity_r_pearson","specificity_p_pearson","n"
"Alnus_glutinosa","XGB_all",-0.421169315142661,0.197039690426476,-0.316664826457971,0.342733034312698,-0.421169315142661,0.197039690426476,-0.332704064539987,0.317448323946342,-0.387970144899493,0.302179590131161,-0.306339218563518,0.422697264863801,11
"Alnus_glutinosa","XGB_Colour",0.132118793797679,0.698582435349376,0.16144012855055,0.635341109270305,0.0592256661851667,0.862673046727988,0.129242098496513,0.704888125021256,0.203419051086243,0.599623063924641,-0.0364934017599211,0.925738710183142,11
"Alnus_glutinosa","XGB_Xray",-0.458455906475005,0.156127217250051,-0.39418518659129,0.230293801177424,-0.458455906475005,0.156127217250051,-0.389444183847438,0.236453403092349,-0.387970144899493,0.302179590131161,-0.306339218563518,0.422697264863801,11
"Alnus_glutinosa","CNN_Colour",0.268793408071141,0.424157749994814,0.219883204618911,0.515913264916955,0.268793408071141,0.424157749994814,0.197461399347639,0.560578382491035,0.529465138921661,0.142664562056267,0.342880067459027,0.366355773449989,11
"Alnus_glutinosa","CNN_Xray",-0.43359120943395,0.182762798029551,-0.348707840201074,0.293256070508299,-0.475812259612241,0.139054330664388,-0.381953814222694,0.246377698561217,-0.376256066331136,0.318262423969438,-0.309751607834321,0.417279266019693,11
"Betula_pendula","XGB_all",0.204118255478046,0.465573151290049,0.362809856018819,0.183820164379744,0.245080500894454,0.378651232901115,0.310939871409553,0.259303327660847,0.388857210139256,0.189119720219274,0.447470255635333,0.125223809011272,15
"Betula_pendula","XGB_Colour",-0.0375276852568137,0.898649430709642,-0.41554183176615,0.139500924995299,-0.180616740088106,0.53663184930875,-0.405203672550554,0.150631258430723,0.0363877023069481,0.91061004015458,-0.113703995090112,0.724949340486816,14
"Betula_pendula","XGB_Xray",0.0805729955834394,0.775299922485573,0.239553891446823,0.389832310030367,0.107334525939177,0.70339343754272,0.20329479179995,0.467413830926374,0.388857210139256,0.189119720219274,0.420068050249854,0.152975289736079,15
"Betula_pendula","CNN_Colour",-0.0107334525939177,0.969715820042685,0.00958531774704551,0.972954098467271,-0.0107334525939177,0.969715820042685,-0.062833354988234,0.823956379951165,NA,NA,NA,NA,15
"Betula_pendula","CNN_Xray",-0.369840804270095,0.174837626487637,-0.118830886747595,0.673168666839041,-0.333933930069115,0.223824047547327,-0.248174344732959,0.372468630703536,-0.0598922971830534,0.845895169522029,-0.0598544632550724,0.845991473111946,15
"Betula_pubescens","XGB_all",0.272890484739677,0.325087418732137,0.196028710981709,0.483808006676203,0.280717601688213,0.31083928798886,0.110241458315363,0.695709850798373,0.0223223183499381,0.939622940038435,0.0391972856967722,0.894162935032926,15
"Betula_pubescens","XGB_Colour",0.361435122940415,0.185610896546674,0.201359297854958,0.471754139421965,0.271748988215747,0.327196024281146,0.206620891847501,0.460000846706814,-0.101484254999564,0.729936709293603,-0.24182844273391,0.40487431467317,15
"Betula_pubescens","XGB_Xray",0.305556046229319,0.268077002421441,0.173917001309938,0.535326647796375,0.266129459619085,0.337689869211206,0.184147020022782,0.511193474533981,0.239659840278678,0.409229680911001,0.211713785718481,0.467468109547368,15
"Betula_pubescens","CNN_Colour",-0.0322870085008808,0.909057628171886,-0.0608520030520278,0.829431279255496,-0.0215054108783099,0.939361606592827,-0.105936268228668,0.707098863251407,0.276120158136032,0.339284523536901,0.263750488808302,0.362222492919084,15
"Betula_pubescens","CNN_Xray",0.400359066427289,0.139207094771362,0.369375904131912,0.175422504703727,0.479317322016377,0.0706286475362948,0.414908500146201,0.124092584463638,0.151791764779579,0.604445046917176,0.231624407463841,0.425576875886662,15
"Pinus_sylvestris","XGB_all",-0.0923874313785972,0.733629424653217,0.0701828503447677,0.796193237972508,-0.0461937156892986,0.865107810052575,0.0713286308307312,0.792932782192053,0.0889646834914759,0.806922738706791,0.194493556865063,0.590277344351265,16
"Pinus_sylvestris","XGB_Colour",-0.482360979795058,0.0584541646613298,-0.34055559997264,0.196800407589138,-0.327884308086751,0.21505766812225,-0.228452166566707,0.394757851553325,0.191298720929926,0.596514575265066,0.150640980524461,0.677849451754969,16
"Pinus_sylvestris","XGB_Xray",-0.0997174451009779,0.713296637930952,0.0455702794603019,0.866913137548684,-0.0840536094680716,0.756949284337893,0.0427387462993106,0.875120244647341,0.0328805083986687,0.928151598770642,0.179722999991231,0.619310420257902,16
"Pinus_sylvestris","CNN_Colour",-0.488068251957127,0.0551107077734357,-0.362341076765935,0.167831328653124,-0.419199725607349,0.106039213747802,-0.258769626182641,0.333176593105341,0.663630822748943,0.0364163915958007,0.667573790367064,0.0349260643397726,16
"Pinus_sylvestris","CNN_Xray",-0.256205724571997,0.338158558552587,-0.123438553763201,0.648785051715333,-0.133346839104724,0.622487058943139,-0.00277367580584833,0.991865995814,0.158865506234778,0.661120441421065,0.177456014421687,0.623809925547778,16
"Sorbus_aucuparia","XGB_all",-0.118343692777227,0.674440530335232,-0.0249533512876776,0.929660165791329,-0.118343692777227,0.674440530335232,-0.0401974569365524,0.886895198707048,NA,NA,NA,NA,15
"Sorbus_aucuparia","XGB_Colour",-0.130379406580335,0.643267124340605,0.0161013088897026,0.954582535405692,-0.130379406580335,0.643267124340605,0.00276037472869174,0.992210132410667,NA,NA,NA,NA,15
"Sorbus_aucuparia","XGB_Xray",-0.110321036337207,0.695499892590529,0.0673787234423976,0.811425348217817,-0.110321036337207,0.695499892590529,0.0575559196891542,0.838555107595327,NA,NA,NA,NA,15
"Sorbus_aucuparia","CNN_Colour",-0.110321036337207,0.695499892590529,0.0673787234423976,0.811425348217817,-0.110321036337207,0.695499892590529,0.0575559196891542,0.838555107595327,NA,NA,NA,NA,15
"Sorbus_aucuparia","CNN_Xray",-0.110321036337207,0.695499892590529,0.0673787234423976,0.811425348217817,-0.110321036337207,0.695499892590529,0.0575559196891542,0.838555107595327,NA,NA,NA,NA,15
