epoch,auc,binary_accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_auc,val_binary_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.6404339075088501,0.6446540951728821,21.0,205.0,0.642952024936676,0.6571906208992004,0.9492753744125366,17.0,393.0,0.7466460466384888,0.6415094137191772,0.0,57.0,0.6242495179176331,0.6415094137191772,1.0,0.0,102.0
1,0.7620718479156494,0.650943398475647,0.0,222.0,0.6067888140678406,0.650943398475647,1.0,0.0,414.0,0.7479360103607178,0.6415094137191772,0.0,57.0,0.6157094836235046,0.6415094137191772,1.0,0.0,102.0
2,0.7855082750320435,0.650943398475647,0.0,222.0,0.5976049304008484,0.650943398475647,1.0,0.0,414.0,0.7580839395523071,0.6415094137191772,0.0,57.0,0.6139798760414124,0.6415094137191772,1.0,0.0,102.0
3,0.7729414701461792,0.650943398475647,0.0,222.0,0.5973425507545471,0.650943398475647,1.0,0.0,414.0,0.7659098505973816,0.6415094137191772,0.0,57.0,0.6123348474502563,0.6415094137191772,1.0,0.0,102.0
4,0.7821136713027954,0.650943398475647,0.0,222.0,0.5940590500831604,0.650943398475647,1.0,0.0,414.0,0.7668558955192566,0.6415094137191772,0.0,57.0,0.6105374097824097,0.6415094137191772,1.0,0.0,102.0
5,0.7888323068618774,0.650943398475647,0.0,222.0,0.5920963883399963,0.650943398475647,1.0,0.0,414.0,0.7851737141609192,0.6415094137191772,0.0,57.0,0.6065608859062195,0.6415094137191772,1.0,0.0,102.0
6,0.7851764559745789,0.650943398475647,0.0,222.0,0.590276300907135,0.650943398475647,1.0,0.0,414.0,0.7933436632156372,0.6415094137191772,0.0,57.0,0.6032984852790833,0.6415094137191772,1.0,0.0,102.0
7,0.7941908836364746,0.650943398475647,0.0,222.0,0.5871521234512329,0.650943398475647,1.0,0.0,414.0,0.7994495630264282,0.6415094137191772,0.0,57.0,0.5999161005020142,0.6415094137191772,1.0,0.0,102.0
8,0.7988585829734802,0.650943398475647,0.0,222.0,0.5837893486022949,0.650943398475647,1.0,0.0,414.0,0.8189713954925537,0.6415094137191772,0.0,57.0,0.5966934561729431,0.6415094137191772,1.0,0.0,102.0
9,0.799522340297699,0.650943398475647,0.0,222.0,0.5818076729774475,0.650943398475647,1.0,0.0,414.0,0.8311833143234253,0.6415094137191772,0.0,57.0,0.5933105945587158,0.6415094137191772,1.0,0.0,102.0
10,0.8061703443527222,0.650943398475647,0.0,222.0,0.578268826007843,0.650943398475647,1.0,0.0,414.0,0.8353973031044006,0.6415094137191772,0.0,57.0,0.5899591445922852,0.6415094137191772,1.0,0.0,102.0
11,0.807976484298706,0.650943398475647,0.0,222.0,0.5758421421051025,0.650943398475647,1.0,0.0,414.0,0.8443412780761719,0.6415094137191772,0.0,57.0,0.5853384137153625,0.6415094137191772,1.0,0.0,102.0
12,0.799990177154541,0.650943398475647,0.0,222.0,0.574375569820404,0.650943398475647,1.0,0.0,414.0,0.853715181350708,0.6415094137191772,0.0,57.0,0.5827199816703796,0.6415094137191772,1.0,0.0,102.0
13,0.8202822208404541,0.6540880799293518,0.0,220.0,0.5668774247169495,0.652996838092804,1.0,2.0,414.0,0.8501031994819641,0.6477987170219421,0.0,56.0,0.5782926678657532,0.6455696225166321,1.0,1.0,102.0
14,0.8248193860054016,0.6556603908538818,0.0,219.0,0.5626897215843201,0.6540284156799316,1.0,3.0,414.0,0.847953200340271,0.6540880799293518,0.0,55.0,0.5737622380256653,0.6496815085411072,1.0,2.0,102.0
15,0.8056752681732178,0.6650943160057068,0.0,213.0,0.5650230050086975,0.660287082195282,1.0,9.0,414.0,0.8525971174240112,0.6603773832321167,0.0,54.0,0.5710748434066772,0.6538461446762085,1.0,3.0,102.0
16,0.805250883102417,0.6698113083839417,0.0,210.0,0.5622871518135071,0.6634615659713745,1.0,12.0,414.0,0.8512212038040161,0.6666666865348816,0.0,53.0,0.5673066973686218,0.6580645442008972,1.0,4.0,102.0
17,0.8146026730537415,0.6855345964431763,0.0,200.0,0.5583726167678833,0.6742671132087708,1.0,22.0,414.0,0.8500171899795532,0.6855345964431763,0.0,50.0,0.5638781785964966,0.6710526347160339,1.0,7.0,102.0
18,0.813520073890686,0.696540892124176,1.0,192.0,0.5542884469032288,0.6826446056365967,0.9975845217704773,30.0,413.0,0.855005145072937,0.704402506351471,0.0,47.0,0.559042751789093,0.6845637559890747,1.0,10.0,102.0
19,0.8159844875335693,0.704402506351471,0.0,188.0,0.5508685111999512,0.6877076625823975,1.0,34.0,414.0,0.8519951701164246,0.7106918096542358,0.0,46.0,0.5559532642364502,0.6891891956329346,1.0,11.0,102.0
