epoch,auc,binary_accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_auc,val_binary_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.5712085366249084,0.9017160534858704,19.0,44.0,0.31336385011672974,0.9289175868034363,0.9680134654045105,3.0,575.0,0.6070774793624878,0.9312499761581421,0.0,11.0,0.25014176964759827,0.9312499761581421,1.0,0.0,149.0
1,0.47077155113220215,0.9266770482063293,0.0,47.0,0.2650056481361389,0.9266770482063293,1.0,0.0,594.0,0.6205002665519714,0.9312499761581421,0.0,11.0,0.25346875190734863,0.9312499761581421,1.0,0.0,149.0
2,0.5252346396446228,0.9266770482063293,0.0,47.0,0.263493150472641,0.9266770482063293,1.0,0.0,594.0,0.5597925186157227,0.9312499761581421,0.0,11.0,0.2537337839603424,0.9312499761581421,1.0,0.0,149.0
3,0.5174618363380432,0.9266770482063293,0.0,47.0,0.263816237449646,0.9266770482063293,1.0,0.0,594.0,0.5936546325683594,0.9312499761581421,0.0,11.0,0.2540837824344635,0.9312499761581421,1.0,0.0,149.0
4,0.5137724876403809,0.9266770482063293,0.0,47.0,0.26458925008773804,0.9266770482063293,1.0,0.0,594.0,0.621720552444458,0.9312499761581421,0.0,11.0,0.2540345788002014,0.9312499761581421,1.0,0.0,149.0
5,0.5139873623847961,0.9266770482063293,0.0,47.0,0.2636960744857788,0.9266770482063293,1.0,0.0,594.0,0.6162294149398804,0.9312499761581421,0.0,11.0,0.25453102588653564,0.9312499761581421,1.0,0.0,149.0
6,0.5126083493232727,0.9266770482063293,0.0,47.0,0.2637385427951813,0.9266770482063293,1.0,0.0,594.0,0.6150091886520386,0.9312499761581421,0.0,11.0,0.25437986850738525,0.9312499761581421,1.0,0.0,149.0
7,0.5241779685020447,0.9266770482063293,0.0,47.0,0.2638860046863556,0.9266770482063293,1.0,0.0,594.0,0.6101281046867371,0.9312499761581421,0.0,11.0,0.2538757920265198,0.9312499761581421,1.0,0.0,149.0
8,0.5145784020423889,0.9266770482063293,0.0,47.0,0.2636074721813202,0.9266770482063293,1.0,0.0,594.0,0.596400260925293,0.9312499761581421,0.0,11.0,0.2541298568248749,0.9312499761581421,1.0,0.0,149.0
9,0.5415502786636353,0.9266770482063293,0.0,47.0,0.26294001936912537,0.9266770482063293,1.0,0.0,594.0,0.6339231133460999,0.9312499761581421,0.0,11.0,0.25480836629867554,0.9312499761581421,1.0,0.0,149.0
10,0.5207751393318176,0.9266770482063293,0.0,47.0,0.26358798146247864,0.9266770482063293,1.0,0.0,594.0,0.6150091886520386,0.9312499761581421,0.0,11.0,0.25363337993621826,0.9312499761581421,1.0,0.0,149.0
11,0.5175334811210632,0.9266770482063293,0.0,47.0,0.263429194688797,0.9266770482063293,1.0,0.0,594.0,0.596400260925293,0.9312499761581421,0.0,11.0,0.25400441884994507,0.9312499761581421,1.0,0.0,149.0
12,0.5067339539527893,0.9266770482063293,0.0,47.0,0.2646704912185669,0.9266770482063293,1.0,0.0,594.0,0.6305674314498901,0.9312499761581421,0.0,11.0,0.2529523968696594,0.9312499761581421,1.0,0.0,149.0
13,0.5510423183441162,0.9266770482063293,0.0,47.0,0.2619258165359497,0.9266770482063293,1.0,0.0,594.0,0.6095179915428162,0.9312499761581421,0.0,11.0,0.2540939450263977,0.9312499761581421,1.0,0.0,149.0
14,0.5054803490638733,0.9266770482063293,0.0,47.0,0.26399657130241394,0.9266770482063293,1.0,0.0,594.0,0.6107382774353027,0.9312499761581421,0.0,11.0,0.25348734855651855,0.9312499761581421,1.0,0.0,149.0
15,0.5152410864830017,0.9266770482063293,0.0,47.0,0.26394543051719666,0.9266770482063293,1.0,0.0,594.0,0.6101281642913818,0.9312499761581421,0.0,11.0,0.25346675515174866,0.9312499761581421,1.0,0.0,149.0
16,0.5112472176551819,0.9266770482063293,0.0,47.0,0.26355475187301636,0.9266770482063293,1.0,0.0,594.0,0.6140939593315125,0.9312499761581421,0.0,11.0,0.2539624273777008,0.9312499761581421,1.0,0.0,149.0
17,0.4983164966106415,0.9266770482063293,0.0,47.0,0.26429760456085205,0.9266770482063293,1.0,0.0,594.0,0.6137888431549072,0.9312499761581421,0.0,11.0,0.2536066174507141,0.9312499761581421,1.0,0.0,149.0
18,0.48529624938964844,0.9266770482063293,0.0,47.0,0.2652931809425354,0.9266770482063293,1.0,0.0,594.0,0.5820622444152832,0.9312499761581421,0.0,11.0,0.2532814145088196,0.9312499761581421,1.0,0.0,149.0
19,0.5190916061401367,0.9266770482063293,0.0,47.0,0.26365867257118225,0.9266770482063293,1.0,0.0,594.0,0.5860280990600586,0.9312499761581421,0.0,11.0,0.2536129057407379,0.9312499761581421,1.0,0.0,149.0
20,0.5179274678230286,0.9266770482063293,0.0,47.0,0.26345160603523254,0.9266770482063293,1.0,0.0,594.0,0.6046369671821594,0.9312499761581421,0.0,11.0,0.25361648201942444,0.9312499761581421,1.0,0.0,149.0
