epoch,auc,binary_accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_auc,val_binary_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.6350921392440796,0.6671802997589111,11.0,205.0,0.6196918487548828,0.6709470152854919,0.9743589758872986,15.0,418.0,0.8009189367294312,0.6481481194496155,0.0,57.0,0.6238713264465332,0.6481481194496155,1.0,0.0,105.0
1,0.6579042077064514,0.6610169410705566,0.0,220.0,0.6175761222839355,0.6610169410705566,1.0,0.0,429.0,0.7994152307510376,0.6481481194496155,0.0,57.0,0.623748242855072,0.6481481194496155,1.0,0.0,105.0
2,0.6534170508384705,0.6610169410705566,0.0,220.0,0.6171562075614929,0.6610169410705566,1.0,0.0,429.0,0.8197159767150879,0.6481481194496155,0.0,57.0,0.6212781071662903,0.6481481194496155,1.0,0.0,105.0
3,0.6577717661857605,0.6610169410705566,0.0,220.0,0.6171178817749023,0.6610169410705566,1.0,0.0,429.0,0.834586501121521,0.6481481194496155,0.0,57.0,0.6197807192802429,0.6481481194496155,1.0,0.0,105.0
4,0.6783693432807922,0.6610169410705566,0.0,220.0,0.612859845161438,0.6610169410705566,1.0,0.0,429.0,0.8366750478744507,0.6481481194496155,0.0,57.0,0.6170821189880371,0.6481481194496155,1.0,0.0,105.0
5,0.677177369594574,0.6625577807426453,0.0,219.0,0.6114498376846313,0.6620370149612427,1.0,1.0,429.0,0.8527986407279968,0.6481481194496155,0.0,57.0,0.6125039458274841,0.6481481194496155,1.0,0.0,105.0
6,0.6863795518875122,0.6625577807426453,0.0,219.0,0.6073674559593201,0.6620370149612427,1.0,1.0,429.0,0.8575605750083923,0.6481481194496155,0.0,57.0,0.6077280044555664,0.6481481194496155,1.0,0.0,105.0
7,0.7004609107971191,0.6625577807426453,0.0,219.0,0.6015064716339111,0.6620370149612427,1.0,1.0,429.0,0.863659143447876,0.6481481194496155,0.0,57.0,0.5976132750511169,0.6481481194496155,1.0,0.0,105.0
8,0.7178533673286438,0.668721079826355,0.0,215.0,0.5920838117599487,0.6661490797996521,1.0,5.0,429.0,0.8463659286499023,0.6481481194496155,0.0,57.0,0.5847393274307251,0.6481481194496155,1.0,0.0,105.0
9,0.7169686555862427,0.6856702566146851,1.0,203.0,0.5880207419395447,0.678288459777832,0.997668981552124,17.0,428.0,0.869423508644104,0.654321014881134,0.0,56.0,0.5723534822463989,0.6521739363670349,1.0,1.0,105.0
