epoch,auc,binary_accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_auc,val_binary_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.6237422823905945,0.6151419281959534,16.0,228.0,0.645435631275177,0.6231405138969421,0.9592875242233276,13.0,377.0,0.6958568692207336,0.6265822649002075,0.0,59.0,0.6516804099082947,0.6265822649002075,1.0,0.0,99.0
1,0.6735400557518005,0.6198738217353821,0.0,241.0,0.6371656656265259,0.6198738217353821,1.0,0.0,393.0,0.732237696647644,0.6265822649002075,0.0,59.0,0.6410645842552185,0.6265822649002075,1.0,0.0,99.0
2,0.6722255349159241,0.6230283975601196,0.0,239.0,0.6354360580444336,0.621835470199585,1.0,2.0,393.0,0.7481595873832703,0.6265822649002075,0.0,59.0,0.6360210180282593,0.6265822649002075,1.0,0.0,99.0
3,0.6762429475784302,0.6277602314949036,1.0,235.0,0.6311455368995667,0.6251993775367737,0.9974554777145386,6.0,392.0,0.7536380290985107,0.6265822649002075,0.0,59.0,0.6314979791641235,0.6265822649002075,1.0,0.0,99.0
4,0.6921647787094116,0.6624605655670166,7.0,207.0,0.6200741529464722,0.6509274840354919,0.9821882843971252,34.0,386.0,0.7538092136383057,0.6392405033111572,0.0,57.0,0.6281304955482483,0.6346153616905212,1.0,2.0,99.0
5,0.6787557601928711,0.6703469753265381,6.0,203.0,0.6217320561408997,0.6559321880340576,0.9847328066825867,38.0,387.0,0.7553501129150391,0.6518987417221069,0.0,55.0,0.6166293025016785,0.6428571343421936,1.0,4.0,99.0
6,0.6965991854667664,0.6813880205154419,10.0,192.0,0.6129037141799927,0.6660869717597961,0.974554717540741,49.0,383.0,0.7497860193252563,0.6518987417221069,0.0,55.0,0.6262966990470886,0.6428571343421936,1.0,4.0,99.0
7,0.6943238973617554,0.7050473093986511,12.0,175.0,0.6071138381958008,0.685251772403717,0.9694656729698181,66.0,381.0,0.7479027509689331,0.6645569801330566,0.0,53.0,0.6160508394241333,0.6513158082962036,1.0,6.0,99.0
8,0.7089522480964661,0.7208201885223389,20.0,157.0,0.5949728488922119,0.703773558139801,0.9491094350814819,84.0,373.0,0.7585173845291138,0.6835442781448364,0.0,50.0,0.618157684803009,0.6644295454025269,1.0,9.0,99.0
9,0.7035253643989563,0.7176656126976013,23.0,156.0,0.5941030979156494,0.7034220695495605,0.9414758086204529,85.0,370.0,0.7556925415992737,0.6835442781448364,1.0,49.0,0.6152574419975281,0.6666666865348816,0.9898989796638489,10.0,98.0
10,0.7148332595825195,0.7365930676460266,26.0,141.0,0.582808256149292,0.7224409580230713,0.9338422417640686,100.0,367.0,0.7611710429191589,0.7088607549667358,1.0,45.0,0.6105198264122009,0.6853147149085999,0.9898989796638489,14.0,98.0
11,0.7197638750076294,0.7365930676460266,27.0,140.0,0.5781847238540649,0.7233201861381531,0.9312977194786072,101.0,366.0,0.7669063806533813,0.7151898741722107,1.0,44.0,0.6073337197303772,0.6901408433914185,0.9898989796638489,15.0,98.0
12,0.7128377556800842,0.7255520224571228,36.0,138.0,0.580581545829773,0.7212121486663818,0.9083969593048096,103.0,357.0,0.7601438760757446,0.7151898741722107,1.0,44.0,0.6041385531425476,0.6901408433914185,0.9898989796638489,15.0,98.0
13,0.7221553325653076,0.7318611741065979,34.0,136.0,0.5756186246871948,0.7252525091171265,0.9134860038757324,105.0,359.0,0.7609142065048218,0.7151898741722107,1.0,44.0,0.5978875756263733,0.6901408433914185,0.9898989796638489,15.0,98.0
14,0.7237285375595093,0.7239747643470764,37.0,138.0,0.5730386972427368,0.7206477522850037,0.9058524370193481,103.0,356.0,0.7538949251174927,0.7151898741722107,1.0,44.0,0.604246973991394,0.6901408433914185,0.9898989796638489,15.0,98.0
15,0.7259985208511353,0.738170325756073,35.0,131.0,0.5687289834022522,0.7321063280105591,0.910941481590271,110.0,358.0,0.7592878341674805,0.7215189933776855,1.0,43.0,0.5956546664237976,0.695035457611084,0.9898989796638489,16.0,98.0
16,0.7332625985145569,0.7302839159965515,39.0,132.0,0.5659306049346924,0.7283950448036194,0.9007633328437805,109.0,354.0,0.750727653503418,0.7088607549667358,1.0,45.0,0.6012014746665955,0.6853147149085999,0.9898989796638489,14.0,98.0
17,0.7318161129951477,0.7302839159965515,38.0,133.0,0.5668572187423706,0.7274590134620667,0.9033079147338867,108.0,355.0,0.7580894231796265,0.7278481125831604,1.0,42.0,0.5883165001869202,0.699999988079071,0.9898989796638489,17.0,98.0
18,0.7362558245658875,0.7318611741065979,35.0,135.0,0.5640355348587036,0.726166307926178,0.910941481590271,106.0,358.0,0.7645951509475708,0.7278481125831604,1.0,42.0,0.5832425355911255,0.699999988079071,0.9898989796638489,17.0,98.0
19,0.7406005859375,0.7413249015808105,36.0,128.0,0.5594088435173035,0.7360824942588806,0.9083969593048096,113.0,357.0,0.7652798891067505,0.7215189933776855,1.0,43.0,0.5922748446464539,0.695035457611084,0.9898989796638489,16.0,98.0
20,0.7377973794937134,0.7350157499313354,37.0,131.0,0.5612537860870361,0.7310061454772949,0.9058524370193481,110.0,356.0,0.7691320180892944,0.7215189933776855,1.0,43.0,0.587576687335968,0.695035457611084,0.9898989796638489,16.0,98.0
21,0.7363455891609192,0.727129340171814,40.0,133.0,0.5627057552337646,0.7263374328613281,0.8982188105583191,108.0,353.0,0.7612566947937012,0.7215189933776855,1.0,43.0,0.5935652256011963,0.695035457611084,0.9898989796638489,16.0,98.0
22,0.732666015625,0.7365930676460266,35.0,132.0,0.5621286630630493,0.7306122183799744,0.910941481590271,109.0,358.0,0.7645094990730286,0.7215189933776855,1.0,43.0,0.5837177038192749,0.695035457611084,0.9898989796638489,16.0,98.0
23,0.7355220317840576,0.738170325756073,39.0,127.0,0.561384379863739,0.7359667420387268,0.9007633328437805,114.0,354.0,0.7651943564414978,0.7215189933776855,1.0,43.0,0.5821427702903748,0.695035457611084,0.9898989796638489,16.0,98.0
24,0.7496753334999084,0.738170325756073,37.0,129.0,0.5564559698104858,0.7340205907821655,0.9058524370193481,112.0,356.0,0.7552645206451416,0.7215189933776855,1.0,43.0,0.5942735075950623,0.695035457611084,0.9898989796638489,16.0,98.0
25,0.7365198135375977,0.7350157499313354,38.0,130.0,0.5617886781692505,0.7319587469100952,0.9033079147338867,111.0,355.0,0.7645095586776733,0.7215189933776855,1.0,43.0,0.5806682705879211,0.695035457611084,0.9898989796638489,16.0,98.0
